PassengerId,Survived,Pclass,Sex
1,0,3,male
2,1,1,female
3,1,3,female
4,1,1,female
5,0,3,male
6,0,3,male
7,0,1,male
8,0,3,male
9,1,3,female
10,1,2,female
11,1,3,female
12,1,1,female
13,0,3,male
14,0,3,male
15,0,3,female
16,1,2,female
17,0,3,male
18,1,2,male
19,0,3,female
20,1,3,female
21,0,2,male
22,1,2,male
23,1,3,female
24,1,1,male
25,0,3,female
26,1,3,female
27,0,3,male
28,0,1,male
29,1,3,female
30,0,3,male
31,0,1,male
32,1,1,female
33,1,3,female
34,0,2,male
35,0,1,male
36,0,1,male
37,1,3,male
38,0,3,male
39,0,3,female
40,1,3,female
41,0,3,female
42,0,2,female
43,0,3,male
44,1,2,female
45,1,3,female
46,0,3,male
47,0,3,male
48,1,3,female
49,0,3,male
50,0,3,female
51,0,3,male
52,0,3,male
53,1,1,female
54,1,2,female
55,0,1,male
56,1,1,male
57,1,2,female
58,0,3,male
59,1,2,female
60,0,3,male
61,0,3,male
62,1,1,female
63,0,1,male
64,0,3,male
65,0,1,male
66,1,3,male
67,1,2,female
68,0,3,male
69,1,3,female
70,0,3,male
71,0,2,male
72,0,3,female
73,0,2,male
74,0,3,male
75,1,3,male
76,0,3,male
77,0,3,male
78,0,3,male
79,1,2,male
80,1,3,female
81,0,3,male
82,1,3,male
83,1,3,female
84,0,1,male
85,1,2,female
86,1,3,female
87,0,3,male
88,0,3,male
89,1,1,female
90,0,3,male
91,0,3,male
92,0,3,male
93,0,1,male
94,0,3,male
95,0,3,male
96,0,3,male
97,0,1,male
98,1,1,male
99,1,2,female
100,0,2,male
101,0,3,female
102,0,3,male
103,0,1,male
104,0,3,male
105,0,3,male
106,0,3,male
107,1,3,female
108,1,3,male
109,0,3,male
110,1,3,female
111,0,1,male
112,0,3,female
113,0,3,male
114,0,3,female
115,0,3,female
116,0,3,male
117,0,3,male
118,0,2,male
119,0,1,male
120,0,3,female
121,0,2,male
122,0,3,male
123,0,2,male
124,1,2,female
125,0,1,male
126,1,3,male
127,0,3,male
128,1,3,male
129,1,3,female
130,0,3,male
131,0,3,male
132,0,3,male
133,0,3,female
134,1,2,female
135,0,2,male
136,0,2,male
137,1,1,female
138,0,1,male
139,0,3,male
140,0,1,male
141,0,3,female
142,1,3,female
143,1,3,female
144,0,3,male
145,0,2,male
146,0,2,male
147,1,3,male
148,0,3,female
149,0,2,male
150,0,2,male
151,0,2,male
152,1,1,female
153,0,3,male
154,0,3,male
155,0,3,male
156,0,1,male
157,1,3,female
158,0,3,male
159,0,3,male
160,0,3,male
161,0,3,male
162,1,2,female
163,0,3,male
164,0,3,male
165,0,3,male
166,1,3,male
167,1,1,female
168,0,3,female
169,0,1,male
170,0,3,male
171,0,1,male
172,0,3,male
173,1,3,female
174,0,3,male
175,0,1,male
176,0,3,male
177,0,3,male
178,0,1,female
179,0,2,male
180,0,3,male
181,0,3,female
182,0,2,male
183,0,3,male
184,1,2,male
185,1,3,female
186,0,1,male
187,1,3,female
188,1,1,male
189,0,3,male
190,0,3,male
191,1,2,female
192,0,2,male
193,1,3,female
194,1,2,male
195,1,1,female
196,1,1,female
197,0,3,male
198,0,3,male
199,1,3,female
200,0,2,female
201,0,3,male
202,0,3,male
203,0,3,male
204,0,3,male
205,1,3,male
206,0,3,female
207,0,3,male
208,1,3,male
209,1,3,female
210,1,1,male
211,0,3,male
212,1,2,female
213,0,3,male
214,0,2,male
215,0,3,male
216,1,1,female
217,1,3,female
218,0,2,male
219,1,1,female
220,0,2,male
221,1,3,male
222,0,2,male
223,0,3,male
224,0,3,male
225,1,1,male
226,0,3,male
227,1,2,male
228,0,3,male
229,0,2,male
230,0,3,female
231,1,1,female
232,0,3,male
233,0,2,male
234,1,3,female
235,0,2,male
236,0,3,female
237,0,2,male
238,1,2,female
239,0,2,male
240,0,2,male
241,0,3,female
242,1,3,female
243,0,2,male
244,0,3,male
245,0,3,male
246,0,1,male
247,0,3,female
248,1,2,female
249,1,1,male
250,0,2,male
251,0,3,male
252,0,3,female
253,0,1,male
254,0,3,male
255,0,3,female
256,1,3,female
257,1,1,female
258,1,1,female
259,1,1,female
260,1,2,female
261,0,3,male
262,1,3,male
263,0,1,male
264,0,1,male
265,0,3,female
266,0,2,male
267,0,3,male
268,1,3,male
269,1,1,female
270,1,1,female
271,0,1,male
272,1,3,male
273,1,2,female
274,0,1,male
275,1,3,female
276,1,1,female
277,0,3,female
278,0,2,male
279,0,3,male
280,1,3,female
281,0,3,male
282,0,3,male
283,0,3,male
284,1,3,male
285,0,1,male
286,0,3,male
287,1,3,male
288,0,3,male
289,1,2,male
290,1,3,female
291,1,1,female
292,1,1,female
293,0,2,male
294,0,3,female
295,0,3,male
296,0,1,male
297,0,3,male
298,0,1,female
299,1,1,male
300,1,1,female
301,1,3,female
302,1,3,male
303,0,3,male
304,1,2,female
305,0,3,male
306,1,1,male
307,1,1,female
308,1,1,female
309,0,2,male
310,1,1,female
311,1,1,female
312,1,1,female
313,0,2,female
314,0,3,male
315,0,2,male
316,1,3,female
317,1,2,female
318,0,2,male
319,1,1,female
320,1,1,female
321,0,3,male
322,0,3,male
323,1,2,female
324,1,2,female
325,0,3,male
326,1,1,female
327,0,3,male
328,1,2,female
329,1,3,female
330,1,1,female
331,1,3,female
332,0,1,male
333,0,1,male
334,0,3,male
335,1,1,female
336,0,3,male
337,0,1,male
338,1,1,female
339,1,3,male
340,0,1,male
341,1,2,male
342,1,1,female
343,0,2,male
344,0,2,male
345,0,2,male
346,1,2,female
347,1,2,female
348,1,3,female
349,1,3,male
350,0,3,male
351,0,3,male
352,0,1,male
353,0,3,male
354,0,3,male
355,0,3,male
356,0,3,male
357,1,1,female
358,0,2,female
359,1,3,female
360,1,3,female
361,0,3,male
362,0,2,male
363,0,3,female
364,0,3,male
365,0,3,male
366,0,3,male
367,1,1,female
368,1,3,female
369,1,3,female
370,1,1,female
371,1,1,male
372,0,3,male
373,0,3,male
374,0,1,male
375,0,3,female
376,1,1,female
377,1,3,female
378,0,1,male
379,0,3,male
380,0,3,male
381,1,1,female
382,1,3,female
383,0,3,male
384,1,1,female
385,0,3,male
386,0,2,male
387,0,3,male
388,1,2,female
389,0,3,male
390,1,2,female
391,1,1,male
392,1,3,male
393,0,3,male
394,1,1,female
395,1,3,female
396,0,3,male
397,0,3,female
398,0,2,male
399,0,2,male
400,1,2,female
401,1,3,male
402,0,3,male
403,0,3,female
404,0,3,male
405,0,3,female
406,0,2,male
407,0,3,male
408,1,2,male
409,0,3,male
410,0,3,female
411,0,3,male
412,0,3,male
413,1,1,female
414,0,2,male
415,1,3,male
416,0,3,female
417,1,2,female
418,1,2,female
419,0,2,male
420,0,3,female
421,0,3,male
422,0,3,male
423,0,3,male
424,0,3,female
